"UserId","RoleId"
"04B06749-26BE-44C2-9C22-B6208386C506","6C7EE6BA-9A56-4CC2-9CD0-466B55A2A254"
"04B06749-26BE-44C2-9C22-B6208386C506","3F29E1DA-4DC3-48BF-A560-4C543BF8994D"
"04B06749-26BE-44C2-9C22-B6208386C506","F0A75355-C95F-468F-810E-4FA95DBDFD96"
"04B06749-26BE-44C2-9C22-B6208386C506","3A584BDF-EE15-4E06-90FD-578D865F45E4"
"405A3C3C-E699-4BDF-BABB-0A49E5C57862","CE7F95F4-5D05-4B0F-8D58-57B23A1380E2"
"3A28A2B2-4172-48AC-A348-3A9A9E7BE74B","CE7F95F4-5D05-4B0F-8D58-57B23A1380E2"
"598AE4C7-8BA7-4B88-BC4C-76B8BD71C265","CE7F95F4-5D05-4B0F-8D58-57B23A1380E2"
"F2DAB1B2-3F89-4DA3-BCD2-89B9A42262AE","CE7F95F4-5D05-4B0F-8D58-57B23A1380E2"
"3A929972-123A-4FB0-B77C-A85FC05C2A76","CE7F95F4-5D05-4B0F-8D58-57B23A1380E2"
"CE612C75-5D60-4103-86D5-B40E1E098B7C","CE7F95F4-5D05-4B0F-8D58-57B23A1380E2"
"04B06749-26BE-44C2-9C22-B6208386C506","CE7F95F4-5D05-4B0F-8D58-57B23A1380E2"
"FB069159-9061-4748-BB3A-D290E3202582","CE7F95F4-5D05-4B0F-8D58-57B23A1380E2"
"04B06749-26BE-44C2-9C22-B6208386C506","E56C478A-CDE7-43B8-B674-9B388CD826BD"
"04B06749-26BE-44C2-9C22-B6208386C506","224BD0BA-8D32-4190-8541-F76D02A2F2C0"
